path,room_id,is_synthetic
/content/dataset/real/room_1.jpeg,1,0
/content/dataset/synthetic/room_1/syn_00.png,1,1
/content/dataset/synthetic/room_1/syn_01.png,1,1
/content/dataset/synthetic/room_1/syn_02.png,1,1
/content/dataset/synthetic/room_1/syn_03.png,1,1
/content/dataset/synthetic/room_1/syn_04.png,1,1
/content/dataset/synthetic/room_1/syn_05.png,1,1
/content/dataset/synthetic/room_1/syn_06.png,1,1
/content/dataset/synthetic/room_1/syn_07.png,1,1
/content/dataset/synthetic/room_1/syn_08.png,1,1
/content/dataset/synthetic/room_1/syn_09.png,1,1
/content/dataset/real/room_10.jpg,10,0
/content/dataset/synthetic/room_10/syn_00.png,10,1
/content/dataset/synthetic/room_10/syn_01.png,10,1
/content/dataset/synthetic/room_10/syn_02.png,10,1
/content/dataset/synthetic/room_10/syn_03.png,10,1
/content/dataset/synthetic/room_10/syn_04.png,10,1
/content/dataset/synthetic/room_10/syn_05.png,10,1
/content/dataset/synthetic/room_10/syn_06.png,10,1
/content/dataset/synthetic/room_10/syn_07.png,10,1
/content/dataset/synthetic/room_10/syn_08.png,10,1
/content/dataset/synthetic/room_10/syn_09.png,10,1
/content/dataset/real/room_100.jpg,100,0
/content/dataset/synthetic/room_100/syn_00.png,100,1
/content/dataset/synthetic/room_100/syn_01.png,100,1
/content/dataset/synthetic/room_100/syn_02.png,100,1
/content/dataset/synthetic/room_100/syn_03.png,100,1
/content/dataset/synthetic/room_100/syn_04.png,100,1
/content/dataset/synthetic/room_100/syn_05.png,100,1
/content/dataset/synthetic/room_100/syn_06.png,100,1
/content/dataset/synthetic/room_100/syn_07.png,100,1
/content/dataset/synthetic/room_100/syn_08.png,100,1
/content/dataset/synthetic/room_100/syn_09.png,100,1
/content/dataset/real/room_101.jpeg,101,0
/content/dataset/synthetic/room_101/syn_00.png,101,1
/content/dataset/synthetic/room_101/syn_01.png,101,1
/content/dataset/synthetic/room_101/syn_02.png,101,1
/content/dataset/synthetic/room_101/syn_03.png,101,1
/content/dataset/synthetic/room_101/syn_04.png,101,1
/content/dataset/synthetic/room_101/syn_05.png,101,1
/content/dataset/synthetic/room_101/syn_06.png,101,1
/content/dataset/synthetic/room_101/syn_07.png,101,1
/content/dataset/synthetic/room_101/syn_08.png,101,1
/content/dataset/synthetic/room_101/syn_09.png,101,1
/content/dataset/real/room_102.jpg,102,0
/content/dataset/synthetic/room_102/syn_00.png,102,1
/content/dataset/synthetic/room_102/syn_01.png,102,1
/content/dataset/synthetic/room_102/syn_02.png,102,1
/content/dataset/synthetic/room_102/syn_03.png,102,1
/content/dataset/synthetic/room_102/syn_04.png,102,1
/content/dataset/synthetic/room_102/syn_05.png,102,1
/content/dataset/synthetic/room_102/syn_06.png,102,1
/content/dataset/synthetic/room_102/syn_07.png,102,1
/content/dataset/synthetic/room_102/syn_08.png,102,1
/content/dataset/synthetic/room_102/syn_09.png,102,1
/content/dataset/real/room_103.jpeg,103,0
/content/dataset/synthetic/room_103/syn_00.png,103,1
